DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,previous_flight_status
03/04/2018,Sunday,9E 4082,JFK,575,663,1,2
03/04/2018,Sunday,B6 2516,JFK,1000,1078,1,1
03/04/2018,Sunday,9E 4074,JFK,1027,1116,0,1
03/04/2018,Sunday,9E 4081,JFK,1265,1343,2,0
03/04/2018,Sunday,OO 3188,ORD,-70,37,0,0
03/04/2018,Sunday,OO 3193,ORD,765,878,0,0
03/04/2018,Sunday,OO 3026,ORD,1195,1304,0,0
03/04/2019,Monday,B6 656,MCO,1260,1424,1,0
03/04/2019,Monday,B6 116,JFK,458,534,2,0
03/04/2019,Monday,9E 3401,JFK,581,659,2,2
03/04/2019,Monday,9E 3404,JFK,1005,1091,1,2
03/04/2019,Monday,B6 2516,JFK,1036,1114,0,1
03/04/2019,Monday,9E 3290,JFK,1320,1407,0,0
03/04/2019,Monday,YX 3623,ORD,600,709,0,0
03/04/2019,Monday,OO 5668,ORD,900,1012,0,0
03/04/2019,Monday,UA 607,ORD,1175,1280,2,0
03/04/2022,Friday,B6 656,MCO,675,840,1,0
03/04/2022,Friday,B6 116,JFK,564,641,2,0
03/04/2022,Friday,9E 5446,JFK,750,825,0,2
03/04/2022,Friday,OO 3253,ORD,820,927,2,0
03/04/2022,Friday,OO 5587,ORD,889,1002,2,2
03/04/2022,Friday,UA 1094,ORD,1149,1258,0,2
03/04/2023,Saturday,WN 2695,MCO,665,825,1,0
03/04/2023,Saturday,B6 56,MCO,847,1011,1,1
03/04/2023,Saturday,9E 5350,JFK,580,668,2,0
03/04/2023,Saturday,B6 116,JFK,810,883,1,2
03/04/2023,Saturday,9E 5224,JFK,990,1079,1,1
03/04/2023,Saturday,B6 16,JFK,1295,1367,1,1
03/04/2023,Saturday,9E 5009,JFK,1350,1437,0,1
03/04/2023,Saturday,OO 5533,ORD,490,602,2,0
03/04/2023,Saturday,YX 4401,ORD,866,990,0,2
03/04/2023,Saturday,OO 5308,ORD,895,1009,2,0
03/04/2023,Saturday,YX 4414,ORD,1240,1360,0,2
03/04/2023,Saturday,UA 408,ORD,1325,1435,2,0
03/05/2006,Sunday,B6 68,JFK,590,655,2,0
03/05/2006,Sunday,B6 72,JFK,920,990,1,2
03/05/2006,Sunday,B6 22,JFK,1375,1439,0,1
03/05/2006,Sunday,OO 6844,ORD,600,706,1,0
03/05/2006,Sunday,OO 5802,ORD,1330,1432,1,1
03/05/2007,Monday,B6 660,MCO,905,1075,2,0
03/05/2007,Monday,B6 1042,JFK,420,500,0,0
03/05/2007,Monday,B6 68,JFK,575,646,2,0
03/05/2007,Monday,B6 72,JFK,920,990,1,2
03/05/2007,Monday,B6 22,JFK,1360,1427,1,1
03/05/2007,Monday,OO 5840,ORD,604,705,1,0
03/05/2007,Monday,OO 5844,ORD,855,956,0,1
03/05/2007,Monday,OO 6438,ORD,1035,1148,1,0
03/05/2007,Monday,OO 6446,ORD,1180,1292,0,1
03/05/2009,Thursday,B6 668,MCO,776,935,1,0
03/05/2009,Thursday,B6 664,MCO,1095,1253,1,1
03/05/2009,Thursday,B6 80,JFK,405,475,2,0
03/05/2009,Thursday,B6 42,JFK,670,745,0,2
03/05/2009,Thursday,B6 16,JFK,1020,1112,0,0
03/05/2009,Thursday,B6 22,JFK,1360,1439,0,0
03/05/2009,Thursday,OO 5988,ORD,614,720,0,0
03/05/2010,Friday,B6 668,MCO,705,865,2,0
03/05/2010,Friday,B6 660,MCO,1145,1304,2,2
03/05/2010,Friday,B6 22,JFK,-75,5,0,0
03/05/2010,Friday,B6 44,JFK,480,564,1,0
03/05/2010,Friday,B6 42,JFK,629,707,0,1
03/05/2010,Friday,B6 62,JFK,873,961,2,0
03/05/2010,Friday,OO 6752,ORD,442,548,1,0
03/05/2011,Saturday,B6 664,MCO,650,809,0,0
03/05/2011,Saturday,B6 660,MCO,1140,1296,1,0
03/05/2011,Saturday,B6 42,JFK,630,696,1,0
03/05/2011,Saturday,B6 62,JFK,1020,1107,0,1
03/05/2011,Saturday,B6 22,JFK,1365,1435,0,0
03/05/2011,Saturday,OO 6864,ORD,1335,1439,2,0
03/05/2012,Monday,B6 664,MCO,480,639,2,0
03/05/2012,Monday,B6 658,MCO,1039,1200,1,2
03/05/2012,Monday,B6 44,JFK,457,534,1,0
03/05/2012,Monday,B6 12,JFK,890,977,1,1
03/05/2012,Monday,B6 22,JFK,1370,1438,0,1
03/05/2013,Tuesday,B6 664,MCO,947,1110,0,0
03/05/2013,Tuesday,B6 658,MCO,1045,1206,0,0
03/05/2013,Tuesday,B6 44,JFK,450,523,0,0
03/05/2013,Tuesday,B6 12,JFK,958,1048,0,0
03/05/2013,Tuesday,B6 22,JFK,1371,1437,2,0
03/05/2014,Wednesday,B6 656,MCO,712,875,1,0
03/05/2014,Wednesday,B6 116,JFK,558,629,1,0
03/05/2014,Wednesday,B6 316,JFK,739,811,0,1
03/05/2014,Wednesday,B6 1816,JFK,1355,1421,0,0
03/05/2015,Thursday,B6 656,MCO,883,1046,2,0
03/05/2015,Thursday,B6 116,JFK,577,657,1,0
03/05/2015,Thursday,B6 316,JFK,790,871,1,1
03/05/2015,Thursday,B6 1816,JFK,1349,1419,1,1
03/05/2016,Saturday,B6 656,MCO,1160,1323,0,0
03/05/2016,Saturday,B6 316,JFK,1020,1095,0,0
03/05/2016,Saturday,B6 1816,JFK,1370,1439,0,0
03/05/2017,Sunday,B6 656,MCO,900,1063,0,0
03/05/2017,Sunday,B6 1816,JFK,-61,8,1,0
